feature,importance_mean,importance_std
crop_type,3.2676279320303925,0.04269288055365181
irrigation_mm,1.4000159021540468,0.038595227427686556
light_intensity_lux,0.18708060564880782,0.009754691094120705
pest_severity,0.15959513992628035,0.008376715464112944
total_irrigation_mm,0.05331365592229087,0.0031786245810347946
fertilizer_N_kg_ha,0.045397692534188835,0.0036785207484389382
avg_temperature_C,0.033891909872773775,0.004296434131486444
days_to_maturity,0.03267798429064994,0.0032492013616110616
photoperiod_hours,0.02232044762270773,0.0015273075585674814
dli_mol_m2_day,0.019526743827112992,0.0048603423978635305
k_to_n_ratio,0.01853722143386438,0.002576584139316638
total_dli_mol_m2,0.017896106580239303,0.002590103208885701
min_temperature_C,0.010685371820265388,0.0025399820783068012
total_npk_kg_ha,0.009652290422069765,0.0013824675435957364
max_temperature_C,0.005204219583341718,0.0013083814134390887
n_share_npk,0.004377840231767927,0.001339788249818284
variety,0.003173655541702303,0.000611647744041675
soil_pH,0.0026196271728349705,0.0006244962997760707
gdd_degC_days,0.00250701775901927,0.0011011751281827839
fertilizer_P_kg_ha,0.002183703989030228,0.00040687669551125815
n_to_p_ratio,0.0016243705520666118,0.0007754580796925457
fertilizer_K_kg_ha,0.0007651855518511219,0.0018137104078787042
vpd_kpa,0.0007634554719766484,0.001141883285451853
temp_range_C,0.0006247727569884453,0.0007563535814283047
fertilizer_was_missing,0.0,0.0
env_was_missing,0.0,0.0
humidity_percent,-0.0006850474313386812,0.0011331729666545528
co2_ppm,-0.0015039014008828566,0.0013767816171776366
