iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,rmse,r2
1000,6,0.02,10.0,1.0,2.105496636934071,0.8192674566360059
1500,8,0.02,10.0,0.5,2.116566076574621,0.8173592316987977
600,4,0.02,5.0,1.0,2.123585107859017,0.8161344917446467
400,8,0.02,5.0,1.0,2.1303396131922208,0.8149737550811779
1500,4,0.05,3.0,0.5,2.141446250148766,0.8130378612375099
1500,4,0.05,1.0,1.0,2.1457456780547215,0.8122966958157021
1500,8,0.05,10.0,0.5,2.153404262488853,0.8109709731308957
600,10,0.05,1.0,0.5,2.158925028520967,0.8099722429838347
400,10,0.08,3.0,0.5,2.164333504583237,0.8090337847049981
400,10,0.08,3.0,0.0,2.164333504583237,0.8090337847049981
1000,10,0.08,10.0,1.0,2.1712718640956705,0.8078112621288995
1500,4,0.08,1.0,0.0,2.175962996612123,0.8069681750450756
400,10,0.12,3.0,0.5,2.189301175028123,0.8046012816939045
1000,6,0.12,5.0,0.5,2.193830158408292,0.8038064129013254
1500,6,0.12,5.0,1.0,2.210406689474886,0.800826826808566
